# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.17
2                       0.17
4                       0.17
8                       0.17
16                      0.19
32                      0.19
64                      0.18
128                     0.20
256                     0.22
512                     0.31
1024                    0.37
2048                    0.45
4096                    0.98
8192                    1.14
16384                   1.56
32768                   2.21
65536                   3.71
131072                  6.80
262144                 13.87
524288                 28.74
1048576                56.35
2097152               133.66
4194304               380.05
